Date,Open,High,Low,Close,Adj Close,Volume
2020-04-01,1122,1129.689941,1097.449951,1105.619995,1105.619995,2343100
2020-04-02,1098.26001,1126.859985,1096.400024,1120.839966,1120.839966,1964900
2020-04-03,1119.015015,1123.540039,1079.810059,1097.880005,1097.880005,2313400
2020-04-06,1138,1194.660034,1130.939941,1186.920044,1186.920044,2664700
2020-04-07,1221,1225,1182.22998,1186.51001,1186.51001,2387300
2020-04-08,1206.5,1219.069946,1188.160034,1210.280029,1210.280029,1975100
2020-04-09,1224.079956,1225.569946,1196.734985,1211.449951,1211.449951,2175400
2020-04-13,1209.180054,1220.51001,1187.598022,1217.560059,1217.560059,1739800
2020-04-14,1245.089966,1282.069946,1236.930054,1269.22998,1269.22998,2470400
2020-04-15,1245.609985,1280.459961,1240.400024,1262.469971,1262.469971,1671700
2020-04-16,1274.099976,1279,1242.619995,1263.469971,1263.469971,2518100
2020-04-17,1284.849976,1294.430054,1271.22998,1283.25,1283.25,1949000
2020-04-20,1271,1281.599976,1261.369995,1266.609985,1266.609985,1695500
2020-04-21,1247,1254.27002,1209.709961,1216.339966,1216.339966,2153000
2020-04-22,1245.540039,1285.613037,1242,1263.209961,1263.209961,2093100
2020-04-23,1271.550049,1293.310059,1265.670044,1276.310059,1276.310059,1566200
2020-04-24,1261.170044,1280.400024,1249.449951,1279.310059,1279.310059,1640400
2020-04-27,1296,1296.150024,1269,1275.880005,1275.880005,1600600
2020-04-28,1287.930054,1288.050049,1232.199951,1233.670044,1233.670044,2951300
2020-04-29,1341.459961,1359.98999,1325.339966,1341.47998,1341.47998,3793600
2020-04-30,1324.880005,1352.819946,1322.48999,1348.660034,1348.660034,2665400
2020-05-01,1328.5,1352.069946,1311,1320.609985,1320.609985,2072500
2020-05-04,1308.22998,1327.660034,1299,1326.800049,1326.800049,1504000
2020-05-05,1337.920044,1373.939941,1337.459961,1351.109985,1351.109985,1651500
2020-05-06,1361.689941,1371.119995,1347.290039,1347.300049,1347.300049,1215400
2020-05-07,1365.939941,1377.599976,1355.27002,1372.560059,1372.560059,1397600
2020-05-08,1383.130005,1398.76001,1375.47998,1388.369995,1388.369995,1388100
2020-05-11,1378.280029,1416.530029,1377.151978,1403.26001,1403.26001,1410600
2020-05-12,1407.119995,1415,1374.77002,1375.73999,1375.73999,1390600
2020-05-13,1377.050049,1385.482056,1328.400024,1349.329956,1349.329956,1812600
2020-05-14,1335.02002,1357.420044,1323.910034,1356.130005,1356.130005,1603100
2020-05-15,1350,1374.47998,1339,1373.189941,1373.189941,1707700
2020-05-18,1361.75,1392.324951,1354.25,1383.939941,1383.939941,1824000
2020-05-19,1386.996948,1392,1373.484985,1373.484985,1373.484985,1280600
2020-05-20,1389.579956,1410.420044,1387.25,1406.719971,1406.719971,1655400
2020-05-21,1408,1415.48999,1393.449951,1402.800049,1402.800049,1385000
2020-05-22,1396.709961,1412.76001,1391.829956,1410.420044,1410.420044,1309400
2020-05-26,1437.27002,1441,1412.130005,1417.02002,1417.02002,2060600
2020-05-27,1417.25,1421.73999,1391.290039,1417.839966,1417.839966,1685800
2020-05-28,1396.859985,1440.839966,1396,1416.72998,1416.72998,1692200
2020-05-29,1416.939941,1432.569946,1413.349976,1428.920044,1428.920044,1838100
2020-06-01,1418.390015,1437.959961,1418,1431.819946,1431.819946,1217100
2020-06-02,1430.550049,1439.609985,1418.829956,1439.219971,1439.219971,1278100
2020-06-03,1438.300049,1446.552002,1429.776978,1436.380005,1436.380005,1256200
2020-06-04,1430.400024,1438.959961,1404.72998,1412.180054,1412.180054,1484300
2020-06-05,1413.170044,1445.050049,1406,1438.390015,1438.390015,1734900
2020-06-08,1422.339966,1447.98999,1422.339966,1446.609985,1446.609985,1404200
2020-06-09,1445.359985,1468,1443.209961,1456.160034,1456.160034,1409200
2020-06-10,1459.540039,1474.259033,1456.27002,1465.849976,1465.849976,1525200
2020-06-11,1442.47998,1454.474976,1402,1403.839966,1403.839966,1991300
2020-06-12,1428.48999,1437,1386.02002,1413.180054,1413.180054,1944200
2020-06-15,1390.800049,1424.800049,1387.920044,1419.849976,1419.849976,1503900
2020-06-16,1445.219971,1455.02002,1425.900024,1442.719971,1442.719971,1709200
2020-06-17,1447.160034,1460,1431.380005,1451.119995,1451.119995,1548300
2020-06-18,1449.160034,1451.410034,1427.01001,1435.959961,1435.959961,1581900
2020-06-19,1444,1447.800049,1421.349976,1431.719971,1431.719971,3157900
2020-06-22,1429,1452.75,1423.209961,1451.859985,1451.859985,1542400
2020-06-23,1455.640015,1475.94104,1445.23999,1464.410034,1464.410034,1429800
2020-06-24,1461.51001,1475.420044,1429.75,1431.969971,1431.969971,1756000
2020-06-25,1429.900024,1442.900024,1420,1441.329956,1441.329956,1230500
2020-06-26,1431.390015,1433.449951,1351.98999,1359.900024,1359.900024,4267700
2020-06-29,1358.180054,1395.599976,1347.01001,1394.969971,1394.969971,1810200
2020-06-30,1390.439941,1418.650024,1383.959961,1413.609985,1413.609985,2042400
2020-07-01,1411.099976,1443,1409.819946,1438.040039,1438.040039,1775200
2020-07-02,1446.939941,1482.949951,1446.420044,1464.699951,1464.699951,1859100
2020-07-06,1480.060059,1506.589966,1472.859985,1495.699951,1495.699951,1564000
2020-07-07,1490,1516.800049,1483.550049,1485.180054,1485.180054,1458200
2020-07-08,1494.319946,1505.880005,1485.630005,1496,1496,1249700
2020-07-09,1506.449951,1522.719971,1488.084961,1510.98999,1510.98999,1423300
2020-07-10,1506.150024,1543.829956,1496.540039,1541.73999,1541.73999,1856300
2020-07-13,1550,1577.131958,1505.243042,1511.339966,1511.339966,1846400
2020-07-14,1490.310059,1522.949951,1483.5,1520.579956,1520.579956,1585000
2020-07-15,1523.130005,1535.329956,1498,1513.640015,1513.640015,1610700
2020-07-16,1500,1518.689941,1486.310059,1518,1518,1519300
2020-07-17,1521.619995,1523.439941,1498.420044,1515.550049,1515.550049,1456700
2020-07-20,1515.26001,1570.290039,1503.599976,1565.719971,1565.719971,1557300
2020-07-21,1586.98999,1586.98999,1554.280029,1558.420044,1558.420044,1218600
2020-07-22,1560.5,1570,1546.099976,1568.48999,1568.48999,932000
2020-07-23,1566.969971,1571.869995,1507.391968,1515.680054,1515.680054,1627600
2020-07-24,1498.930054,1517.635986,1488.400024,1511.869995,1511.869995,1544000
2020-07-27,1515.599976,1540.969971,1515.209961,1530.199951,1530.199951,1246000
2020-07-28,1525.180054,1526.47998,1497.660034,1500.339966,1500.339966,1702200
2020-07-29,1506.319946,1531.251953,1501.329956,1522.02002,1522.02002,1106500
2020-07-30,1497,1537.869995,1492.219971,1531.449951,1531.449951,1671400
2020-07-31,1505.01001,1508.949951,1454.030029,1482.959961,1482.959961,3439900
2020-08-03,1486.640015,1490.469971,1465.640015,1474.449951,1474.449951,2330200
2020-08-04,1476.569946,1485.560059,1458.650024,1464.969971,1464.969971,1903500
2020-08-05,1469.300049,1482.410034,1463.459961,1473.609985,1473.609985,1979500
2020-08-06,1471.75,1502.390015,1466,1500.099976,1500.099976,1995400
2020-08-07,1500,1516.844971,1481.640015,1494.48999,1494.48999,1576600
2020-08-10,1487.180054,1504.074951,1473.079956,1496.099976,1496.099976,1289300
2020-08-11,1492.439941,1510,1478,1480.319946,1480.319946,1454400
2020-08-12,1485.579956,1512.385986,1485.25,1506.619995,1506.619995,1437700
2020-08-13,1510.339966,1537.25,1508.005005,1518.449951,1518.449951,1455200
2020-08-14,1515.660034,1521.900024,1502.880005,1507.72998,1507.72998,1354800
2020-08-17,1514.670044,1525.609985,1507.969971,1517.97998,1517.97998,1378300
2020-08-18,1526.180054,1562.469971,1523.709961,1558.599976,1558.599976,2027100
2020-08-19,1553.310059,1573.680054,1543.949951,1547.530029,1547.530029,1660600
2020-08-20,1543.449951,1585.869995,1538.199951,1581.75,1581.75,1706900
2020-08-21,1577.030029,1597.719971,1568.005005,1580.420044,1580.420044,1446500
2020-08-24,1593.97998,1614.170044,1580.569946,1588.199951,1588.199951,1409900
2020-08-25,1582.069946,1611.619995,1582.069946,1608.219971,1608.219971,2247100
2020-08-26,1608,1659.219971,1603.599976,1652.380005,1652.380005,3993400
2020-08-27,1653.680054,1655,1625.75,1634.329956,1634.329956,1861600
2020-08-28,1633.48999,1647.170044,1630.75,1644.410034,1644.410034,1499800
2020-08-31,1647.890015,1647.964966,1630.310059,1634.180054,1634.180054,1823400
2020-09-01,1636.630005,1665.72998,1632.219971,1660.709961,1660.709961,1826700
2020-09-02,1673.775024,1733.180054,1666.329956,1728.280029,1728.280029,2511200
